case_id,start_time,end_time,estimated_budget,product_type,Activity,Resource,role
101,2020-01-26T17:12:00,2020-01-26T17:13:00,1663.33, Aluminium, Approve Quote,Morgan Roach,Senior Sales Engineer
101,2020-01-28T07:19:00,2020-01-28T07:19:00,1663.33, Aluminium, Submit Quote,Kamila Leblanc,Sales Rep
1011,2020-05-28T12:20:00,2020-05-28T12:59:00,4337.97, Aluminium, Create Request for Quote,Hugh Collins,Sales Rep
1011,2020-05-28T18:51:00,2020-05-28T19:04:00,4337.97, Aluminium, Customize Existing Product Design,Emilee Dorsey,Sales Engineer
1011,2020-05-29T23:21:00,2020-05-29T23:35:00,4337.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1011,2020-05-30T00:24:00,2020-05-30T00:31:00,4337.97, Aluminium, Amend Production Plan,Emilee Dorsey,Production Engineer
1011,2020-06-01T12:57:00,2020-06-01T13:16:00,4337.97, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1011,2020-06-01T13:57:00,2020-06-01T14:02:00,4337.97, Aluminium, Amend Production Plan,Hugh Collins,Production Engineer
1011,2020-06-18T16:31:00,2020-06-18T16:56:00,4337.97, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1011,2020-06-18T17:49:00,2020-06-18T17:58:00,4337.97, Aluminium, Amend Production Plan,Jaylen Gardner,Production Engineer
1011,2020-06-21T19:40:00,2020-06-21T20:08:00,4337.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1011,2020-06-21T20:56:00,2020-06-21T21:05:00,4337.97, Aluminium, Amend Production Plan,Roland Salazar,Production Engineer
1011,2020-07-08T23:54:00,2020-07-09T00:05:00,4337.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1011,2020-07-09T00:58:00,2020-07-09T01:06:00,4337.97, Aluminium, Amend Production Plan,Matilda Escobar,Production Engineer
1011,2020-08-18T17:46:00,2020-08-18T18:10:00,4337.97, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1011,2020-08-18T19:00:00,2020-08-18T19:06:00,4337.97, Aluminium, Amend Production Plan,Aria Bonilla,Production Engineer
1011,2020-08-22T08:21:00,2020-08-22T08:52:00,4337.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1011,2020-08-23T08:52:00,2020-08-23T23:25:00,4337.97, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
1011,2020-08-30T01:27:00,2020-08-30T01:28:00,4337.97, Aluminium, Approve Quote,Morgan Roach,Senior Sales Engineer
1011,2020-09-03T05:14:00,2020-09-03T05:14:00,4337.97, Aluminium, Submit Quote,Giuliana Cantrell,Sales Rep
1015,2020-05-28T19:50:00,2020-05-28T20:05:00,247.85, Aluminium, Create Request for Quote,Bailee Barr,Sales Rep
1015,2020-05-29T19:34:00,2020-05-29T19:38:00,247.85, Aluminium, Analyze Request for Quote,Brynn Warren,Sales Engineer
1018,2020-05-28T22:39:00,2020-05-28T23:16:00,15122.12, Aluminium and Glass, Create Request for Quote,Mitchell Mckay,Sales Rep
1018,2020-05-29T02:49:00,2020-05-29T02:55:00,15122.12, Aluminium and Glass, Customize Existing Product Design,Aria Bonilla,Sales Engineer
1018,2020-06-03T10:21:00,2020-06-03T11:00:00,15122.12, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1018,2020-06-04T02:45:00,2020-06-04T03:07:00,15122.12, Aluminium and Glass, Request Customer Info,Korbin Miranda,Sales Rep
1018,2020-06-07T00:08:00,2020-06-07T00:16:00,15122.12, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1018,2020-06-07T01:02:00,2020-06-07T01:11:00,15122.12, Aluminium and Glass, Amend Production Plan,Jaylen Gardner,Production Engineer
1018,2020-07-02T20:56:00,2020-07-02T21:12:00,15122.12, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1018,2020-07-03T13:04:00,2020-07-03T13:20:00,15122.12, Aluminium and Glass, Request Customer Info,Brynn Warren,Sales Rep
1018,2020-08-08T05:44:00,2020-08-08T06:19:00,15122.12, Aluminium and Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1018,2020-08-09T14:28:00,2020-08-10T02:32:00,15122.12, Aluminium and Glass, Prepare Quote,Alyvia Berger,Sales Engineer
1018,2020-08-13T22:01:00,2020-08-13T22:02:00,15122.12, Aluminium and Glass, Approve Quote,Dallas Melendez,Senior Sales Engineer
1018,2020-08-17T08:07:00,2020-08-17T08:07:00,15122.12, Aluminium and Glass, Submit Quote,Giuliana Cantrell,Sales Rep
102,2020-01-13T13:17:00,2020-01-13T13:26:00,6514.15, Aluminium, Create Request for Quote,Bailee Barr,Sales Rep
102,2020-01-13T14:13:00,2020-01-13T14:20:00,6514.15, Aluminium, Customize Existing Product Design,Matilda Escobar,Sales Engineer
102,2020-01-16T19:32:00,2020-01-16T19:48:00,6514.15, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
102,2020-01-18T09:57:00,2020-01-18T21:36:00,6514.15, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
102,2020-01-20T11:38:00,2020-01-20T11:39:00,6514.15, Aluminium, Approve Quote,Morgan Roach,Senior Sales Engineer
102,2020-01-22T07:39:00,2020-01-22T07:39:00,6514.15, Aluminium, Submit Quote,Katelyn Pitts,Sales Rep
1020,2020-05-29T00:56:00,2020-05-29T01:28:00,3992.37, Aluminium and Glass, Create Request for Quote,Nathanial Oliver,Sales Rep
1020,2020-05-30T00:54:00,2020-05-30T00:59:00,3992.37, Aluminium and Glass, Analyze Request for Quote,Brynn Warren,Sales Engineer
1020,2020-05-30T01:03:00,2020-05-30T01:04:00,3992.37, Aluminium and Glass, Prepare New Product Design,Korbin Miranda,Sales Engineer
1020,2020-06-09T22:29:00,2020-06-09T22:49:00,3992.37, Aluminium and Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1020,2020-06-09T23:36:00,2020-06-09T23:42:00,3992.37, Aluminium and Glass, Amend Production Plan,Dallas Melendez,Production Engineer
1020,2020-07-11T01:23:00,2020-07-11T01:51:00,3992.37, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1020,2020-07-12T15:26:00,2020-07-12T21:26:00,3992.37, Aluminium and Glass, Prepare Quote,Rayna Jackson,Sales Engineer
1020,2020-08-28T20:26:00,2020-08-28T20:27:00,3992.37, Aluminium and Glass, Approve Quote,Lexi Larsen,Senior Sales Engineer
1020,2020-08-30T08:17:00,2020-08-30T08:17:00,3992.37, Aluminium and Glass, Submit Quote,Mariam Tate,Sales Rep
1021,2020-05-29T01:06:00,2020-05-29T01:34:00,6260.35, Glass, Create Request for Quote,Roland Salazar,Sales Rep
1021,2020-05-29T01:42:00,2020-05-29T01:51:00,6260.35, Glass, Customize Existing Product Design,Jaslene Bean,Sales Engineer
1021,2020-06-01T03:37:00,2020-06-01T04:02:00,6260.35, Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1022,2020-05-29T02:31:00,2020-05-29T03:11:00,2013.32, Aluminium, Create Request for Quote,Lexi Larsen,Sales Rep
1022,2020-05-29T10:05:00,2020-05-29T10:16:00,2013.32, Aluminium, Customize Existing Product Design,Morgan Roach,Sales Engineer
1022,2020-06-09T20:52:00,2020-06-09T21:23:00,2013.32, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1023,2020-05-29T04:29:00,2020-05-29T04:57:00,549.06, Aluminium and Glass, Create Request for Quote,Matilda Escobar,Sales Rep
1023,2020-05-29T16:50:00,2020-05-29T16:58:00,549.06, Aluminium and Glass, Analyze Request for Quote,Brynn Warren,Sales Engineer
1025,2020-05-29T12:04:00,2020-05-29T12:25:00,158.29, Aluminium and Glass, Create Request for Quote,Rachael Tanner,Sales Rep
1025,2020-05-30T00:25:00,2020-05-30T00:30:00,158.29, Aluminium and Glass, Analyze Request for Quote,Korbin Miranda,Sales Engineer
1025,2020-05-30T00:37:00,2020-05-30T00:39:00,158.29, Aluminium and Glass, Prepare New Product Design,Sonny Todd,Sales Engineer
1025,2020-06-27T07:24:00,2020-06-27T07:52:00,158.29, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1025,2020-06-27T08:41:00,2020-06-27T08:46:00,158.29, Aluminium and Glass, Amend Production Plan,Lexi Larsen,Production Engineer
1025,2020-07-09T22:08:00,2020-07-09T22:31:00,158.29, Aluminium and Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1025,2020-07-09T23:20:00,2020-07-09T23:33:00,158.29, Aluminium and Glass, Amend Production Plan,Roland Salazar,Production Engineer
1025,2020-08-14T07:24:00,2020-08-14T07:31:00,158.29, Aluminium and Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1025,2020-08-14T08:17:00,2020-08-14T08:23:00,158.29, Aluminium and Glass, Amend Production Plan,Jaslene Bean,Production Engineer
1025,2020-08-16T13:18:00,2020-08-16T13:26:00,158.29, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1025,2020-08-16T14:14:00,2020-08-16T14:24:00,158.29, Aluminium and Glass, Amend Production Plan,Roland Salazar,Production Engineer
1025,2020-09-13T07:24:00,2020-09-13T07:49:00,158.29, Aluminium and Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
103,2020-01-13T13:56:00,2020-01-13T14:07:00,13031.32, Glass, Create Request for Quote,Aria Bonilla,Sales Rep
103,2020-01-14T13:05:00,2020-01-14T13:10:00,13031.32, Glass, Analyze Request for Quote,Korbin Miranda,Sales Engineer
103,2020-01-14T13:14:00,2020-01-14T13:16:00,13031.32, Glass, Prepare New Product Design,Brynn Warren,Sales Engineer
103,2020-01-14T18:54:00,2020-01-14T19:13:00,13031.32, Glass, Prepare Production Plan,Karter Chapman,Production Engineer
103,2020-01-16T11:26:00,2020-01-16T21:30:00,13031.32, Glass, Prepare Quote,Rayna Jackson,Sales Engineer
103,2020-01-19T18:57:00,2020-01-19T18:58:00,13031.32, Glass, Approve Quote,Emilee Dorsey,Senior Sales Engineer
103,2020-01-20T12:11:00,2020-01-20T12:11:00,13031.32, Glass, Submit Quote,Katelyn Pitts,Sales Rep
1031,2020-05-30T16:38:00,2020-05-30T16:57:00,8037.85, Aluminium, Create Request for Quote,Dallas Melendez,Sales Rep
1031,2020-05-30T17:56:00,2020-05-30T18:02:00,8037.85, Aluminium, Customize Existing Product Design,Mitchell Mckay,Sales Engineer
1031,2020-06-01T03:20:00,2020-06-01T03:37:00,8037.85, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1031,2020-06-02T08:01:00,2020-06-02T17:17:00,8037.85, Aluminium, Prepare Quote,Alyvia Berger,Sales Engineer
1031,2020-06-08T13:25:00,2020-06-08T13:26:00,8037.85, Aluminium, Approve Quote,Mitchell Mckay,Senior Sales Engineer
1031,2020-06-12T19:06:00,2020-06-12T19:06:00,8037.85, Aluminium, Submit Quote,Arturo Horton,Sales Rep
1033,2020-05-31T05:38:00,2020-05-31T06:05:00,19915.29, Aluminium, Create Request for Quote,Dallas Melendez,Sales Rep
1033,2020-05-31T09:16:00,2020-05-31T09:27:00,19915.29, Aluminium, Customize Existing Product Design,Hugh Collins,Sales Engineer
1033,2020-06-14T12:26:00,2020-06-14T12:37:00,19915.29, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1033,2020-06-14T13:28:00,2020-06-14T13:41:00,19915.29, Aluminium, Amend Production Plan,Nathanial Oliver,Production Engineer
1033,2020-07-28T01:37:00,2020-07-28T01:52:00,19915.29, Aluminium, Prepare Production Plan,Rayna Jackson,Production Engineer
1033,2020-07-28T23:58:00,2020-07-29T07:29:00,19915.29, Aluminium, Prepare Quote,Rayna Jackson,Sales Engineer
1033,2020-08-08T19:35:00,2020-08-08T19:36:00,19915.29, Aluminium, Approve Quote,Emilee Dorsey,Senior Sales Engineer
1033,2020-08-15T15:19:00,2020-08-15T15:19:00,19915.29, Aluminium, Submit Quote,Arturo Horton,Sales Rep
1035,2020-05-31T12:37:00,2020-05-31T12:55:00,4820.67, Aluminium, Create Request for Quote,Mitchell Mckay,Sales Rep
1035,2020-06-01T01:46:00,2020-06-01T01:53:00,4820.67, Aluminium, Analyze Request for Quote,Sonny Todd,Sales Engineer
1035,2020-06-01T02:00:00,2020-06-01T02:03:00,4820.67, Aluminium, Prepare New Product Design,Sonny Todd,Sales Engineer
1035,2020-06-03T04:54:00,2020-06-03T05:14:00,4820.67, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1035,2020-06-04T16:31:00,2020-06-04T20:28:00,4820.67, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
104,2020-01-13T15:07:00,2020-01-13T15:22:00,1839.77, Aluminium, Create Request for Quote,Jaslene Bean,Sales Rep
104,2020-01-14T12:42:00,2020-01-14T12:46:00,1839.77, Aluminium, Analyze Request for Quote,Sonny Todd,Sales Engineer
104,2020-01-14T12:51:00,2020-01-14T12:52:00,1839.77, Aluminium, Prepare New Product Design,Brynn Warren,Sales Engineer
104,2020-01-17T01:54:00,2020-01-17T02:22:00,1839.77, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1041,2020-06-01T13:47:00,2020-06-01T13:54:00,23270.62, Aluminium, Create Request for Quote,Jaslene Bean,Sales Rep
1041,2020-06-01T17:06:00,2020-06-01T17:10:00,23270.62, Aluminium, Customize Existing Product Design,Aria Bonilla,Sales Engineer
1041,2020-06-03T15:49:00,2020-06-03T16:06:00,23270.62, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1041,2020-06-03T16:58:00,2020-06-03T17:07:00,23270.62, Aluminium, Amend Production Plan,Lexi Larsen,Production Engineer
1041,2020-06-07T00:16:00,2020-06-07T00:35:00,23270.62, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1042,2020-06-01T17:03:00,2020-06-01T17:37:00,755.73, Glass, Create Request for Quote,Emilee Dorsey,Sales Rep
1042,2020-06-02T10:20:00,2020-06-02T10:28:00,755.73, Glass, Analyze Request for Quote,Sonny Todd,Sales Engineer
1042,2020-06-02T10:33:00,2020-06-02T10:34:00,755.73, Glass, Prepare New Product Design,Brynn Warren,Sales Engineer
1042,2020-06-05T01:52:00,2020-06-05T02:05:00,755.73, Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1042,2020-06-05T02:55:00,2020-06-05T03:01:00,755.73, Glass, Amend Production Plan,Morgan Roach,Production Engineer
1042,2020-06-09T22:09:00,2020-06-09T22:29:00,755.73, Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1042,2020-06-09T23:27:00,2020-06-09T23:34:00,755.73, Glass, Amend Production Plan,Rachael Tanner,Production Engineer
1042,2020-06-14T10:43:00,2020-06-14T11:18:00,755.73, Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1042,2020-06-14T12:04:00,2020-06-14T12:12:00,755.73, Glass, Amend Production Plan,Dallas Melendez,Production Engineer
1042,2020-06-21T20:58:00,2020-06-21T21:18:00,755.73, Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1042,2020-06-21T22:06:00,2020-06-21T22:16:00,755.73, Glass, Amend Production Plan,Hugh Collins,Production Engineer
1042,2020-08-05T11:57:00,2020-08-05T12:23:00,755.73, Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1042,2020-08-06T22:47:00,2020-08-07T12:32:00,755.73, Glass, Prepare Quote,Alyvia Berger,Sales Engineer
1042,2020-08-28T02:21:00,2020-08-28T02:22:00,755.73, Glass, Approve Quote,Jaylen Gardner,Senior Sales Engineer
1042,2020-09-01T05:07:00,2020-09-01T05:07:00,755.73, Glass, Submit Quote,Katelyn Pitts,Sales Rep
1044,2020-06-02T04:45:00,2020-06-02T04:53:00,7372.22, Aluminium and Glass, Create Request for Quote,Roland Salazar,Sales Rep
1044,2020-06-02T10:27:00,2020-06-02T10:37:00,7372.22, Aluminium and Glass, Customize Existing Product Design,Dallas Melendez,Sales Engineer
1044,2020-07-06T08:41:00,2020-07-06T08:48:00,7372.22, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1044,2020-07-06T09:38:00,2020-07-06T09:51:00,7372.22, Aluminium and Glass, Amend Production Plan,Emilee Dorsey,Production Engineer
1044,2020-07-22T05:56:00,2020-07-22T06:08:00,7372.22, Aluminium and Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1044,2020-07-25T06:23:00,2020-07-25T18:34:00,7372.22, Aluminium and Glass, Prepare Quote,Karter Chapman,Sales Engineer
1044,2020-09-01T20:54:00,2020-09-01T20:55:00,7372.22, Aluminium and Glass, Approve Quote,Bailee Barr,Senior Sales Engineer
1044,2020-09-11T06:05:00,2020-09-11T06:05:00,7372.22, Aluminium and Glass, Submit Quote,Katelyn Pitts,Sales Rep
1047,2020-06-02T10:49:00,2020-06-02T11:16:00,2501.82, Aluminium and Glass, Create Request for Quote,Lexi Larsen,Sales Rep
1047,2020-06-03T00:05:00,2020-06-03T00:11:00,2501.82, Aluminium and Glass, Analyze Request for Quote,Korbin Miranda,Sales Engineer
1047,2020-06-03T00:18:00,2020-06-03T00:20:00,2501.82, Aluminium and Glass, Prepare New Product Design,Sonny Todd,Sales Engineer
1047,2020-06-08T04:41:00,2020-06-08T05:11:00,2501.82, Aluminium and Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1048,2020-06-02T13:38:00,2020-06-02T13:52:00,475.84, Glass, Create Request for Quote,Hugh Collins,Sales Rep
1048,2020-06-03T08:27:00,2020-06-03T08:36:00,475.84, Glass, Analyze Request for Quote,Brynn Warren,Sales Engineer
1048,2020-06-03T08:41:00,2020-06-03T08:42:00,475.84, Glass, Prepare New Product Design,Korbin Miranda,Sales Engineer
1048,2020-06-08T20:13:00,2020-06-08T20:28:00,475.84, Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1048,2020-06-09T12:17:00,2020-06-09T12:41:00,475.84, Glass, Request Customer Info,Korbin Miranda,Sales Rep
1048,2020-06-19T23:20:00,2020-06-19T23:49:00,475.84, Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1048,2020-06-20T15:43:00,2020-06-20T16:01:00,475.84, Glass, Request Customer Info,Brynn Warren,Sales Rep
1048,2020-06-22T01:21:00,2020-06-22T01:50:00,475.84, Glass, Prepare Production Plan,Rayna Jackson,Production Engineer
1048,2020-06-22T02:46:00,2020-06-22T02:58:00,475.84, Glass, Amend Production Plan,Jaylen Gardner,Production Engineer
1048,2020-06-28T17:45:00,2020-06-28T18:18:00,475.84, Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1048,2020-06-28T19:09:00,2020-06-28T19:16:00,475.84, Glass, Amend Production Plan,Mitchell Mckay,Production Engineer
1048,2020-07-12T07:31:00,2020-07-12T07:40:00,475.84, Glass, Prepare Production Plan,Karter Chapman,Production Engineer
1048,2020-07-14T17:53:00,2020-07-15T05:44:00,475.84, Glass, Prepare Quote,Rayna Jackson,Sales Engineer
1048,2020-08-22T15:39:00,2020-08-22T15:40:00,475.84, Glass, Approve Quote,Matilda Escobar,Senior Sales Engineer
1048,2020-08-26T00:03:00,2020-08-26T00:03:00,475.84, Glass, Submit Quote,Arturo Horton,Sales Rep
1052,2020-06-03T11:08:00,2020-06-03T11:14:00,9268.97, Aluminium, Create Request for Quote,Mitchell Mckay,Sales Rep
1052,2020-06-03T12:48:00,2020-06-03T13:00:00,9268.97, Aluminium, Customize Existing Product Design,Aria Bonilla,Sales Engineer
1052,2020-07-10T06:40:00,2020-07-10T06:54:00,9268.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1052,2020-07-10T07:47:00,2020-07-10T07:55:00,9268.97, Aluminium, Amend Production Plan,Bailee Barr,Production Engineer
1052,2020-07-16T06:38:00,2020-07-16T07:15:00,9268.97, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1052,2020-07-16T08:07:00,2020-07-16T08:19:00,9268.97, Aluminium, Amend Production Plan,Hugh Collins,Production Engineer
1052,2020-07-22T05:43:00,2020-07-22T05:49:00,9268.97, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1052,2020-07-22T06:36:00,2020-07-22T06:43:00,9268.97, Aluminium, Amend Production Plan,Dallas Melendez,Production Engineer
1052,2020-07-30T09:32:00,2020-07-30T10:03:00,9268.97, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1052,2020-07-30T10:55:00,2020-07-30T11:02:00,9268.97, Aluminium, Amend Production Plan,Roland Salazar,Production Engineer
1052,2020-08-01T05:05:00,2020-08-01T05:19:00,9268.97, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
1052,2020-08-02T11:13:00,2020-08-02T19:46:00,9268.97, Aluminium, Prepare Quote,Karter Chapman,Sales Engineer
1052,2020-08-20T09:34:00,2020-08-20T09:35:00,9268.97, Aluminium, Approve Quote,Emilee Dorsey,Senior Sales Engineer
1052,2020-08-22T08:30:00,2020-08-22T08:30:00,9268.97, Aluminium, Submit Quote,Mariam Tate,Sales Rep
1057,2020-06-03T17:21:00,2020-06-03T17:48:00,20077.08, Aluminium and Glass, Create Request for Quote,Roland Salazar,Sales Rep
1057,2020-06-04T04:53:00,2020-06-04T04:57:00,20077.08, Aluminium and Glass, Analyze Request for Quote,Sonny Todd,Sales Engineer
106,2020-01-13T17:11:00,2020-01-13T17:18:00,8406.29, Aluminium, Create Request for Quote,Morgan Roach,Sales Rep
106,2020-01-14T16:03:00,2020-01-14T16:08:00,8406.29, Aluminium, Analyze Request for Quote,Sonny Todd,Sales Engineer
106,2020-01-14T16:13:00,2020-01-14T16:14:00,8406.29, Aluminium, Prepare New Product Design,Korbin Miranda,Sales Engineer
106,2020-01-15T02:57:00,2020-01-15T03:15:00,8406.29, Aluminium, Prepare Production Plan,Karter Chapman,Production Engineer
106,2020-01-15T03:59:00,2020-01-15T04:07:00,8406.29, Aluminium, Amend Production Plan,Roland Salazar,Production Engineer
106,2020-01-16T22:33:00,2020-01-16T22:56:00,8406.29, Aluminium, Prepare Production Plan,Alyvia Berger,Production Engineer
1060,2020-06-03T21:48:00,2020-06-03T21:53:00,1476.85, Aluminium and Glass, Create Request for Quote,Roland Salazar,Sales Rep
1060,2020-06-03T23:45:00,2020-06-03T23:51:00,1476.85, Aluminium and Glass, Customize Existing Product Design,Mitchell Mckay,Sales Engineer
1060,2020-06-06T01:14:00,2020-06-06T01:36:00,1476.85, Aluminium and Glass, Prepare Production Plan,Alyvia Berger,Production Engineer
1060,2020-06-08T18:33:00,2020-06-09T04:04:00,1476.85, Aluminium and Glass, Prepare Quote,Alyvia Berger,Sales Engineer
1060,2020-06-17T14:01:00,2020-06-17T14:02:00,1476.85, Aluminium and Glass, Approve Quote,Lexi Larsen,Senior Sales Engineer
